keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Allemagne',0.6787548298500244,0.5167099723838732,-0.3468297221317949,0.14489606582307668,2.0
'Antarctique',-0.1406821981556741,0.8673027808205662,-0.071598069156323,0.6508603017238054,19.0
'Australie',-0.1345668128430429,1.0,0.601682479113237,1.0,1.0
'Bahamas',1.3765565757276776,1.8194657581543696,1.124210357048779,1.505020720156297,2.0
'Belgique',-0.43597244520810413,0.6815306324273996,0.29480688413194184,1.5561930994877586,4.0
'Bermudes',0.22246790374101288,0.6731976081457776,-0.19361368228966214,0.6317877830589141,6.0
'Beyrouth',0.27379809040038433,1.0,-0.6213012321734859,1.0,1.0
'Bolivie',-1.2730117841649138,1.0,0.743366312448686,1.0,1.0
'Brésil',0.4994420063836195,0.8459974011825747,0.2740231163686797,1.1922732715085156,2.0
'Charlotte-Amélie',0.6932447830924697,0.8786529836977824,-0.40028929176913386,0.32538574962514405,2.0
'Chine',0.337916830853054,0.654268690131444,-0.5080751058489817,0.45855347970776866,3.0
'Cisjordanie',-0.1573167339914664,1.0995574839185098,0.01780083468053195,0.7966712055801325,4.0
'Cité du Vatican',0.1256561284446209,1.0,-0.8497507988295281,1.0,1.0
'Colombie',-0.19067855320419355,1.0,0.1874091412844769,1.0,1.0
'Costa Rica',0.17222222222222222,1.0,0.11666666666666667,1.0,1.0
'Croatie',-2.0372320878973094,1.0,0.2520115158038718,1.0,1.0
'Cuba',0.9280917557050065,1.0,0.5837702319371364,1.0,1.0
'Egypte',1.5610304976505474,1.0,0.6752245882308934,1.0,1.0
'Espagne',-1.1444548463684756,1.0,0.005260539336054538,1.0,1.0
'France',-0.05684272004408837,0.870247227742268,0.15595388965051904,0.7721327337328789,11.0
'Gaza',0.1358502744616987,0.8928530492995481,-0.19866870169668563,0.5452285759467321,27.0
'Guatemala',-0.42440762919289304,1.0344929168802925,-0.5254838061841608,0.8606081783815722,8.0
'Guinée',0.46005702146501065,1.0,0.2721171509234719,1.0,1.0
'Haïti',-0.2497565756413137,2.010962737309686,0.34230864118174537,0.8422821716867094,2.0
'Irak',0.9817668436741777,1.0,0.13879281843392935,1.0,1.0
'Irlande',-0.4578905892411127,1.0,0.03531214332424899,1.0,1.0
'Israël',-0.06516600449306707,0.7973115478383102,-0.3280717197902399,0.8590940642821272,44.0
'Italie',0.09984030989764867,0.12043398871023507,0.8011994534517337,0.6734477254660972,2.0
'Jamaïque',0.33174778507675234,1.3205026787326737,1.5595743657729069,1.5564998903310676,15.0
'Japon',-0.7173278880772185,1.0,-1.7021068922421434,1.0,1.0
'Jérusalem',2.0066179237862167,1.0,1.5335154199060357,1.0,1.0
'Jérusalem-Est',-0.38311992968728026,0.833359831731554,-0.07831607255096144,0.510326854448184,17.0
'Kazakhstan',-0.11521821301676109,0.8925466949309238,-0.24739529312713995,0.7798524195021147,54.0
'Kosovo',-0.707106781186547,1.0,0.7071067811865476,1.0,1.0
'Koweït ville',0.001192605207674222,1.0,0.7661319426368177,1.0,1.0
'Liban',-0.42245112075935615,0.23718179682229118,-0.6795289773093018,1.1572817819255832,2.0
'Liechtenstein',-1.520572475709139,1.0,-0.2988713869808362,1.0,1.0
'Londres',-0.729399373426317,1.0,-0.07350891637322343,1.0,1.0
'Madrid',-0.45545716375209155,1.0,-1.5673562817576359,1.0,1.0
'Mali',0.014539513794843837,1.0,-0.15736471939000954,1.0,1.0
'Mexique',0.18333333333333335,1.0,0.10000000000000002,1.0,1.0
'Moscou',1.5672934959680465,1.0,0.5217002599831131,1.0,1.0
'Nouvelle-Calédonie',0.5629146631066486,1.0,-0.0972371602767348,1.0,1.0
'Ouest-de-l'Île',0.017187772840133387,1.4488107483569441,0.7924446136817097,1.8908645680588072,11.0
'Paris',-0.052735827461350915,0.4752084291996103,-0.06747084183884115,1.0267947911506665,7.0
'Port-au-Prince',0.4785207299439548,1.0,-0.14481823276792585,1.0,1.0
'Port-aux-Français',-0.2563502398134606,0.8841460342490176,0.10735560802417259,0.8687098865030456,10.0
'Pékin',0.3156413968843945,0.37850973390423387,0.4562115014552889,0.9740014650296855,2.0
'Qatar',-2.597785479615698,1.0,0.6037003522579651,1.0,1.0
'Rome',-0.42537489932329814,0.5191536737384739,0.06450773702314658,0.79008273098082,2.0
'Royaume-Uni',0.03840023244271227,1.0,-0.5580938595340815,1.0,1.0
'Russie',0.3355681978003844,0.7669562200195418,-0.24428952897649941,0.541738714073408,5.0
'République dominicaine',-0.4355551885706058,0.11909923066560887,0.4433451302737921,2.544345932238811,2.0
'Saint Pierre',-0.2944011264832301,1.1872213856240457,-0.7454590877349463,0.05432098645334456,2.0
'Slovénie',-0.08764297905142827,1.0,-0.1115420074713206,1.0,1.0
'Soudan',-0.7493008704197206,0.8114828605233141,0.23608704154290092,0.4844437778246708,2.0
'Suède',1.128121107625065,0.18203466155174516,0.5694625846059785,0.2889848699710816,2.0
'Territoire palestinien',0.12855621603580908,0.8630679360868861,-0.19631370081324379,0.8360033214254315,40.0
'Thaïlande',0.8274595965349054,1.0,-0.43119547037532896,1.0,1.0
'Turquie',-0.5426733790063566,0.974477328957313,0.35113317938872246,0.6786812003037257,3.0
'Ukraine',-0.9218863861419091,0.8614782775429295,-0.21537782569169303,0.10072766351134686,4.0
'Vatican',0.415282365606484,1.0635080998861424,0.31483395772213546,0.790903117428616,38.0
'Venezuela',-0.5318848321587384,0.5121850812750152,-0.06973731224907681,0.7061226111500961,2.0
'Washington',-0.26012253378903005,0.9323828387083863,-0.8772096387164533,0.3046429164433214,6.0
'Îles Cocos',0.5819680912183407,1.0,-0.3824875320792544,1.0,1.0
'Îles Turques et Caïques',0.12498942944173592,0.9740850082487024,1.1792782155127506,0.464145610647597,6.0
