,phrase,label,sentiment,subjectivity,language,count
ouragan Melissa,ouragan Melissa,MISC,,,fr,57
Donald Trump,Donald Trump,MISC,,,fr,48
Diables rouges,Diables rouges,MISC,,,fr,23
Palestiniens,Palestiniens,MISC,0.730202380952381,1.142480158730159,fr,23
Etats-Unis,Etats-Unis,MISC,1.6604285714285716,1.834047619047619,fr,14
États-Unis,États-Unis,MISC,,,fr,14
Melissa,Melissa,MISC,,,fr,13
Trump,Trump,MISC,,,fr,12
Ouragan Melissa,Ouragan Melissa,MISC,,,fr,8
Coupe du monde,Coupe du monde,MISC,,,fr,6
Ouragan Melissa ,Ouragan Melissa ,MISC,,,fr,6
Diables,Diables,MISC,,,fr,6
Coupe du monde 2026,Coupe du monde 2026,MISC,,,fr,6
Église,Église,MISC,,,fr,6
Louragan Melissa,Louragan Melissa,MISC,,,fr,5
Gaza ,Gaza ,MISC,,,fr,5
Diables Rouges,Diables Rouges,MISC,,,fr,5
Orient,Orient,MISC,,,fr,4
les Diables,les Diables,MISC,,,fr,4
"REUTERS
","REUTERS
",MISC,,,fr,4
Standard,Standard,MISC,,,fr,4
Le Premier ministre israélien,Le Premier ministre israélien,MISC,,,fr,4
Ça,Ça,MISC,,,fr,4
Idem,Idem,MISC,,,fr,4
Proche-Orient,Proche-Orient,MISC,,,fr,4
Les Diables rouges,Les Diables rouges,MISC,,,fr,4
Pierre,Pierre,MISC,,,fr,4
Class40,Class40,MISC,,,fr,3
Gaza,Gaza,MISC,0.001849462365591398,0.003210445468509985,fr,3
tempête Melissa,tempête Melissa,MISC,,,fr,3
Diablotins,Diablotins,MISC,,,fr,3
INFOGRAPHIES,INFOGRAPHIES,MISC,,,fr,3
Guerre à Gaza,Guerre à Gaza,MISC,,,fr,3
Religion,Religion,MISC,,,fr,3
plan Trump,plan Trump,MISC,,,fr,3
Français,Français,MISC,-0.037077922077922085,0.09155844155844155,fr,3
"DIRECT, guerre en Ukraine ","DIRECT, guerre en Ukraine ",MISC,,,fr,3
"Google Actualités
Partager
 Sabonner 
","Google Actualités
Partager
 Sabonner 
",MISC,,,fr,2
Chaque matin,Chaque matin,MISC,,,fr,2
XVIe siècle,XVIe siècle,MISC,,,fr,2
Big One»,Big One»,MISC,,,fr,2
IA,IA,MISC,,,fr,2
Rares,Rares,MISC,,,fr,2
Saint-Siège,Saint-Siège,MISC,,,fr,2
Ligue des champions,Ligue des champions,MISC,,,fr,2
lUkraine,lUkraine,MISC,,,fr,2
Diplomatie,Diplomatie,MISC,,,fr,2
Zucman ,Zucman ,MISC,,,fr,2
Guerre,Guerre,MISC,,,fr,2
attentats de Paris,attentats de Paris,MISC,,,fr,2
Coupe du monde ,Coupe du monde ,MISC,,,fr,2
CadoMaestro,CadoMaestro,MISC,,,fr,2
Mirjana,Mirjana,MISC,,,fr,2
Musk,Musk,MISC,,,fr,2
"Google Actualités
Partager
 Sabonner","Google Actualités
Partager
 Sabonner",MISC,,,fr,2
lEtat,lEtat,MISC,,,fr,2
Accords d’Abraham,Accords d’Abraham,MISC,,,fr,2
Tel-Aviv,Tel-Aviv,MISC,,,fr,2
OURAGAN,OURAGAN,MISC,,,fr,2
louragan Melissa,louragan Melissa,MISC,,,fr,2
"Cortège, tapis rouge","Cortège, tapis rouge",MISC,,,fr,2
Église d',Église d',MISC,,,fr,2
N.8,N.8,MISC,,,fr,2
ATP 250,ATP 250,MISC,,,fr,2
dEtat,dEtat,MISC,,,fr,2
Coupe du monde de leur histoire,Coupe du monde de leur histoire,MISC,,,fr,2
Manchester City,Manchester City,MISC,,,fr,2
lEgypte,lEgypte,MISC,,,fr,2
Bye bye,Bye bye,MISC,,,fr,2
Guerre en Ukraine ,Guerre en Ukraine ,MISC,,,fr,2
H2 Green Steel,H2 Green Steel,MISC,,,fr,2
MYOP,MYOP,MISC,,,fr,2
Conflit israélo,Conflit israélo,MISC,,,fr,2
Saint-Père au Vatican,Saint-Père au Vatican,MISC,,,fr,2
Airbnb,Airbnb,MISC,,,fr,2
sommet de Charm El,sommet de Charm El,MISC,,,fr,2
Histoire,Histoire,MISC,,,fr,1
dAbraham,dAbraham,MISC,,,fr,1
Premier ministre Netanyahou,Premier ministre Netanyahou,MISC,,,fr,1
Un Diable rouge,Un Diable rouge,MISC,,,fr,1
C,C,MISC,0.07,0.15000000000000002,fr,1
Carillon aux c,Carillon aux c,MISC,,,fr,1
FRANCE,FRANCE,MISC,,,fr,1
DIVERTISSEMENT,DIVERTISSEMENT,MISC,,,fr,1
Top départ !,Top départ !,MISC,,,fr,1
PAULO SANTOS,PAULO SANTOS,MISC,,,fr,1
lItalie,lItalie,MISC,,,fr,1
lExtrême,lExtrême,MISC,,,fr,1
Ici La Rochelle,Ici La Rochelle,MISC,,,fr,1
Sels au micro de VTM,Sels au micro de VTM,MISC,,,fr,1
Vatican ,Vatican ,MISC,,,fr,1
Coupe du Monde,Coupe du Monde,MISC,,,fr,1
Garde suisse,Garde suisse,MISC,,,fr,1
accords d’Abraham,accords d’Abraham,MISC,,,fr,1
Guerre Israël,Guerre Israël,MISC,,,fr,1
I,I,MISC,-0.02874999999999999,0.17125,fr,1
Etats-Unis qui metta,Etats-Unis qui metta,MISC,,,fr,1
GREGORIO BORGIA,GREGORIO BORGIA,MISC,,,fr,1
más FPT Industrial,más FPT Industrial,MISC,,,fr,1
Grupo Propeller,Grupo Propeller,MISC,,,fr,1
Et,Et,MISC,,,fr,1
»,»,MISC,,,fr,1
Quest,Quest,MISC,,,fr,1
STEVENS TOMAS,STEVENS TOMAS,MISC,,,fr,1
Ma,Ma,MISC,,,fr,1
Premier,Premier,MISC,,,fr,1
Galaxy,Galaxy,MISC,,,fr,1
Premier m,Premier m,MISC,,,fr,1
M,M,MISC,,,fr,1
Massacres de civils,Massacres de civils,MISC,,,fr,1
Galaxy A,Galaxy A,MISC,,,fr,1
AppCloud,AppCloud,MISC,,,fr,1
Emirats arabes unis,Emirats arabes unis,MISC,0.0063333333333333314,0.051666666666666666,fr,1
Spyware israélien,Spyware israélien,MISC,,,fr,1
Feu vert des actionnaires de,Feu vert des actionnaires de,MISC,,,fr,1
"Musk
","Musk
",MISC,,,fr,1
Gaza : force internationale,Gaza : force internationale,MISC,,,fr,1
VALAT,VALAT,MISC,,,fr,1
Garde suisse pontificale,Garde suisse pontificale,MISC,,,fr,1
Moyen,Moyen,MISC,,,fr,1
Guerre en Ukraine,Guerre en Ukraine,MISC,,,fr,1
Rangers,Rangers,MISC,,,fr,1
Facebook,Facebook,MISC,,,fr,1
Coupe du monde 2026 de samedi,Coupe du monde 2026 de samedi,MISC,,,fr,1
JEAN,JEAN,MISC,,,fr,1
Claire et Éric,Claire et Éric,MISC,,,fr,1
"Drame, comedie musicale","Drame, comedie musicale",MISC,,,fr,1
Vendredi soir,Vendredi soir,MISC,,,fr,1
Semaines sociales de France,Semaines sociales de France,MISC,,,fr,1
dune,dune,MISC,,,fr,1
Big Rom,Big Rom,MISC,,,fr,1
KDB,KDB,MISC,,,fr,1
Mondial,Mondial,MISC,0.07714285714285715,0.09285714285714286,fr,1
guerre de Gaza,guerre de Gaza,MISC,,,fr,1
lArgentine,lArgentine,MISC,,,fr,1
Rangers ,Rangers ,MISC,,,fr,1
Attentats de 2015 ,Attentats de 2015 ,MISC,,,fr,1
Apocalypse,Apocalypse,MISC,,,fr,1
Diable rougeLes,Diable rougeLes,MISC,,,fr,1
Coupe du monde des Diables rouges,Coupe du monde des Diables rouges,MISC,,,fr,1
Gentils,Gentils,MISC,,,fr,1
Blog,Blog,MISC,,,fr,1
UEFA,UEFA,MISC,,,fr,1
dun coup dÉtat,dun coup dÉtat,MISC,,,fr,1
États-Unis et la Chine,États-Unis et la Chine,MISC,,,fr,1
ANADOLU,ANADOLU,MISC,,,fr,1
TASS,TASS,MISC,,,fr,1
Seys,Seys,MISC,,,fr,1
lhi,lhi,MISC,,,fr,1
Gaza : les Etats,Gaza : les Etats,MISC,,,fr,1
les Diables rougesSix,les Diables rougesSix,MISC,,,fr,1
Constitution,Constitution,MISC,,,fr,1
WAFa,WAFa,MISC,,,fr,1
KHALIL RAMZI,KHALIL RAMZI,MISC,,,fr,1
Eliminato,Eliminato,MISC,,,fr,1
Mon statut,Mon statut,MISC,,,fr,1
Transition de genre,Transition de genre,MISC,,,fr,1
DAZN</li><li>18h00,DAZN</li><li>18h00,MISC,,,fr,1
Manchester City Manchester United,Manchester City Manchester United,MISC,,,fr,1
Je suis confiant”,Je suis confiant”,MISC,,,fr,1
